Area,Perimeter,Length,Width,AspectRation,Class,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,Eccentricity,Color
31573,674.103,217.3070261,185.4482507,1.171793345,SEKER,32197,200.499357,0.756964757,0.980619312,0.873118507,0.922654737,0.006882685,0.003076767,0.851291764,0.997538024,0.52126839,
31675,657.431,236.7526321,171.2105592,1.3828156,SEKER,32009,200.8229633,0.740935673,0.989565435,0.92092896,0.848239622,0.007474432,0.002386889,0.719510457,0.994950284,0.690678219,
31682,646.721,210.0456816,192.2484159,1.092574316,SEKER,32026,200.8451524,0.773184303,0.989258727,0.951893863,0.956197485,0.006629811,0.003418781,0.91431363,0.998955589,0.402841974,
32026,654.237,230.9790674,176.9318083,1.305469433,SEKER,32349,201.9325869,0.779448988,0.990015147,0.940247873,0.874246265,0.007212236,0.002598872,0.764306531,0.997778814,0.642831065,
32044,652.651,216.1471468,188.9705403,1.143813985,SEKER,32395,201.9893264,0.778069153,0.989164995,0.945354229,0.934499156,0.006745324,0.003173206,0.873288673,0.998879798,0.48544352,
32338,653.602,221.4113413,186.136273,1.189512059,SEKER,32672,202.9138251,0.782490866,0.989777179,0.951253518,0.916456329,0.006846785,0.002979295,0.839892203,0.999061903,0.541530905,
32355,657.166,221.279621,186.3604099,1.18737462,SEKER,32720,202.9671537,0.783793605,0.988844743,0.941458316,0.917242866,0.006839117,0.002986188,0.841334475,0.998979202,0.539174328,
32514,649.012,221.4454899,187.1344232,1.183349841,SEKER,32843,203.4652564,0.7849831,0.989982645,0.970006874,0.918805149,0.006810774,0.002994125,0.844202902,0.99898737,0.534673644,
32578,657.571,227.037574,182.8423057,1.241712486,SEKER,32901,203.6654067,0.781922043,0.990182669,0.946779791,0.89705595,0.006969046,0.002783756,0.804709378,0.999217682,0.592813998,
32774,660.614,222.8700513,187.4792477,1.188771846,SEKER,33120,204.2771471,0.790153816,0.98955314,0.943721321,0.916575134,0.006800209,0.002960563,0.840109976,0.998699087,0.540717403,
32795,651.03,225.2102521,185.6002312,1.213415795,SEKER,33091,204.3425821,0.775992617,0.99105497,0.972334053,0.907341385,0.006867213,0.002871066,0.82326839,0.998966867,0.566415511,
32829,658.101,221.5995,189.0026275,1.172467827,SEKER,33154,204.4484801,0.789785166,0.990197261,0.952538233,0.922603526,0.006750114,0.003016833,0.851197267,0.998001409,0.522071263,
32836,669.19,218.4060038,191.7587728,1.138962252,SEKER,33225,204.4702758,0.80291471,0.988291949,0.92142762,0.936193476,0.006651419,0.003151785,0.876458224,0.998252833,0.478674896,
33010,665.85,224.9712592,186.8900915,1.203762369,SEKER,33374,205.0113104,0.791587732,0.989093306,0.935626643,0.911277783,0.006815246,0.002899108,0.830427198,0.999637011,0.556677424,
33062,667.966,222.0391436,189.7813412,1.169973519,SEKER,33439,205.1727219,0.77866227,0.988725739,0.931172778,0.924038522,0.006715841,0.003020233,0.853847189,0.998978601,0.51908899,
33089,663.915,217.3358221,194.2070489,1.119093377,SEKER,33466,205.2564817,0.774410223,0.988734835,0.94334064,0.944420849,0.00656822,0.003223218,0.891930741,0.998153785,0.448903019,
33090,653.809,228.406675,184.6885548,1.236712666,SEKER,33352,205.2595833,0.769355964,0.992144399,0.972758069,0.898658427,0.006902589,0.002776965,0.807586968,0.998753033,0.588365282,
33248,660.068,230.9698347,183.4292487,1.259176693,SEKER,33511,205.7490422,0.787661984,0.992151831,0.958954568,0.890804821,0.006946879,0.002698359,0.793533229,0.999198547,0.607696024,
33382,659.434,222.8701044,190.920249,1.167346605,SEKER,33730,206.1632423,0.781688327,0.989682775,0.964671718,0.925037671,0.006676356,0.003015483,0.855694693,0.998892294,0.515908654,
33399,664.701,221.5599425,192.0898879,1.153418042,SEKER,33752,206.2157306,0.761491108,0.989541361,0.949927944,0.930744648,0.00663373,0.003070858,0.866285599,0.99918944,0.498328415,
33421,654.804,219.5440823,194.0253903,1.131522436,SEKER,33691,206.2836368,0.763385107,0.99198599,0.979504999,0.939600078,0.006569046,0.003158306,0.882848306,0.998962666,0.46793088,
33459,655.414,219.1299474,194.5431002,1.12638252,SEKER,33765,206.4008768,0.786308517,0.990937361,0.978794213,0.941910858,0.006549208,0.003179858,0.887196064,0.999322138,0.460233577,
33468,659.987,224.4599389,189.9543464,1.181652029,SEKER,33748,206.4286344,0.792329545,0.991703212,0.965536869,0.91966805,0.006706703,0.002959465,0.845789323,0.999428669,0.53274976,
33539,662.418,223.6835362,191.2006021,1.169889288,SEKER,33915,206.6474802,0.76426488,0.98891346,0.96049636,0.923838579,0.006669356,0.002996733,0.85347772,0.998474442,0.518987648,
33576,666.339,224.5887253,190.4630178,1.179172355,SEKER,33927,206.7614349,0.761792399,0.989654258,0.950272923,0.920622505,0.006688966,0.002963911,0.847545797,0.999402573,0.529912303,
33620,670.224,222.7760833,192.2260318,1.158927754,SEKER,34012,206.8968668,0.783244805,0.988474656,0.940519106,0.928721179,0.006626296,0.003040829,0.862523029,0.999601877,0.505431801,
33623,659.408,217.371862,197.0837827,1.102941394,SEKER,33918,206.9060976,0.793238493,0.991302553,0.97171275,0.951853178,0.006464975,0.003273607,0.906024472,0.999291894,0.421848171,
33639,663.03,224.6629064,190.8531005,1.177150939,SEKER,33919,206.9553214,0.78625187,0.99174504,0.961582569,0.921181537,0.006678644,0.002966531,0.848575424,0.998901357,0.52757456,
33717,664.363,231.6225255,185.6531262,1.247609077,SEKER,33985,207.1951199,0.766225798,0.992114168,0.959948457,0.894537867,0.006869607,0.002713355,0.800197996,0.998334283,0.597950376,
33809,669.341,230.2474971,187.1642998,1.230189184,SEKER,34143,207.4776031,0.784067718,0.990217614,0.948303455,0.901106877,0.006810243,0.002769795,0.811993604,0.998905748,0.582426873,
33838,661.029,222.9735137,193.4836383,1.152415344,SEKER,34146,207.5665669,0.782128328,0.99097991,0.973135967,0.930902346,0.006589441,0.003052424,0.866579178,0.998659141,0.497013692,
33845,670.945,226.3816048,190.5214245,1.188221248,SEKER,34159,207.5880353,0.763926508,0.990807693,0.944779673,0.916982789,0.006688775,0.002917233,0.840857435,0.999124671,0.540110507,
33866,668.421,230.9311586,186.8608751,1.23584543,SEKER,34171,207.652427,0.799933862,0.991074303,0.952518888,0.899196229,0.006818968,0.002749896,0.808553858,0.999247591,0.587584681,
33876,666.966,228.1491732,189.1647868,1.20608691,SEKER,34211,207.6830826,0.788272251,0.990207828,0.95696179,0.910295136,0.006734832,0.002852564,0.828637234,0.999408522,0.559059342,
33930,666.214,224.1509688,192.8605622,1.162243676,SEKER,34251,207.8485452,0.76272901,0.990628011,0.960652272,0.927270341,0.006606277,0.003012742,0.859830285,0.999332311,0.50961126,
33961,690.353,238.1924989,181.6542972,1.311240651,SEKER,34379,207.9434735,0.770405154,0.987841415,0.895463526,0.87300597,0.007013707,0.002513022,0.762139423,0.999348194,0.646827292,
33961,667.497,233.113834,185.7332978,1.255099849,SEKER,34279,207.9434735,0.771192406,0.990723183,0.957837195,0.892025454,0.006864163,0.002680874,0.79570941,0.99869476,0.604309903,
33972,672.812,232.9882693,185.9156247,1.25319359,SEKER,34349,207.9771473,0.785661425,0.989024426,0.943069114,0.892650724,0.006858244,0.00268608,0.796825316,0.998576378,0.602708675,
33993,669.092,219.7505747,197.0923214,1.114962639,SEKER,34299,208.0414186,0.778228022,0.991078457,0.954174231,0.946716153,0.006464583,0.003203313,0.896271473,0.999309207,0.442251584,
33996,663.743,223.0963581,194.3808765,1.147727915,SEKER,34285,208.0505986,0.764693974,0.991570658,0.969700851,0.932559367,0.00656243,0.003061614,0.869666974,0.998141063,0.490774479,
34220,677.527,233.1830193,186.9591042,1.247240782,SEKER,34577,208.734897,0.773752996,0.989675218,0.936777941,0.895154791,0.006814232,0.002698915,0.8013021,0.999416658,0.597632979,
34254,668.704,223.9688286,194.9291861,1.148975344,SEKER,34575,208.8385677,0.775363303,0.990715835,0.962616531,0.932444792,0.006538472,0.003048938,0.86945329,0.998980392,0.492450072,
34276,689.626,229.5589772,190.4115066,1.205594039,SEKER,34738,208.9056214,0.763113367,0.986700443,0.905675761,0.910030285,0.006697368,0.002833396,0.828155119,0.998418874,0.558556303,
34291,671.507,230.658067,189.6239312,1.216397453,SEKER,34619,208.9513274,0.78204251,0.990525434,0.955628131,0.905892129,0.00672649,0.002794308,0.820640549,0.998225074,0.569343533,
34327,677.311,231.1581283,189.3043718,1.221092393,SEKER,34714,209.0609812,0.793596116,0.98885176,0.940306539,0.904406791,0.006734003,0.002779127,0.817951644,0.998794531,0.573880789,
34390,680.24,245.0146708,178.97451,1.368991991,SEKER,34759,209.252737,0.793932958,0.989384044,0.933937272,0.854041663,0.007124591,0.002338061,0.729387163,0.998525184,0.682950707,
34410,684.481,232.4579361,188.9396293,1.230329164,SEKER,34802,209.3135751,0.80069808,0.98873628,0.92293633,0.900436348,0.006755534,0.002739375,0.810785617,0.997533191,0.582555932,
34412,667.199,233.9589857,187.3982909,1.248458481,SEKER,34677,209.319658,0.787459954,0.992358047,0.971424393,0.894685269,0.006798762,0.002687143,0.80046173,0.999343236,0.598680683,
34421,678.034,232.4039146,189.1497475,1.228676843,SEKER,34762,209.3470286,0.755708264,0.990190438,0.940871694,0.900789597,0.006751806,0.002742162,0.811421898,0.996975296,0.581027879,
34428,688.178,229.7324979,191.3790717,1.20040554,SEKER,34908,209.3683143,0.777770247,0.98624957,0.913524268,0.911356975,0.006672839,0.002839517,0.830571536,0.997022673,0.553194986,
34441,675.683,228.6978291,191.9152031,1.191660824,SEKER,34826,209.4078393,0.790874437,0.988945041,0.947980998,0.915652939,0.006640278,0.002879318,0.838420304,0.999112631,0.543876991,
34475,677.676,241.0431821,182.3691135,1.321732487,SEKER,34878,209.511177,0.776463964,0.988445438,0.943343645,0.869185244,0.006991825,0.002461613,0.755482988,0.99854641,0.65389796,
34491,674.657,233.182837,188.5763657,1.236543276,SEKER,34829,209.5597889,0.785850991,0.990295443,0.952246946,0.898693024,0.006760686,0.002720295,0.807649151,0.998693127,0.588213024,
34600,673.252,231.4349165,190.4578223,1.215150492,SEKER,34919,209.8906578,0.777790266,0.990864572,0.959247461,0.906910077,0.00668887,0.00279119,0.822485887,0.99944413,0.568123459,
34601,685.556,226.5195392,194.7187568,1.163316482,SEKER,35048,209.8936909,0.780620417,0.987246063,0.925151042,0.926603028,0.006546618,0.002976951,0.858593172,0.998815588,0.510948533,
34622,683.382,235.9288048,187.0530848,1.261293312,SEKER,35010,209.9573755,0.763726204,0.988917452,0.931611724,0.889918362,0.006814419,0.002636388,0.791954691,0.998887155,0.609433752,
34638,677.314,234.6904502,188.3397997,1.246101199,SEKER,34989,210.0058841,0.757876772,0.989968276,0.948817239,0.894820747,0.00677552,0.002679579,0.80070417,0.997758426,0.59664803,
34671,674.874,235.5895195,187.6497244,1.255474903,SEKER,35015,210.1058977,0.765769944,0.990175639,0.956601017,0.89183041,0.006795002,0.002651542,0.79536148,0.998556376,0.604623587,
34676,668.424,226.4475067,195.193788,1.160116359,SEKER,34982,210.1210471,0.777907394,0.991252644,0.975292284,0.927901791,0.006530381,0.002986251,0.861001735,0.998862198,0.506938033,
34680,669.575,231.2624473,191.2410961,1.20927171,SEKER,34941,210.1331659,0.77594308,0.992530265,0.972054226,0.908635052,0.006668467,0.002803908,0.825617658,0.998396077,0.56228427,
34772,671.947,228.0476746,194.336638,1.173467221,SEKER,35103,210.4117046,0.763179843,0.990570607,0.967764075,0.922665425,0.006558371,0.002931924,0.851311487,0.998986125,0.523256094,
34800,671.796,226.6361886,195.613827,1.15858982,SEKER,35120,210.4964041,0.784632035,0.990888383,0.968978812,0.928785493,0.006512534,0.002989451,0.862642492,0.99944881,0.505001894,
34847,686.633,236.4262236,188.0626579,1.257167299,SEKER,35229,210.6385017,0.761017689,0.989156661,0.928807931,0.890926981,0.006784694,0.002636808,0.793750886,0.997877658,0.606033555,
34865,680.0,224.8250921,197.677632,1.137331977,SEKER,35256,210.6928967,0.793179543,0.988909689,0.947505431,0.937141378,0.006448447,0.003068,0.878233963,0.99884357,0.476359223,
34878,679.271,229.2969816,193.9498701,1.182248699,SEKER,35217,210.7321732,0.784480432,0.990373967,0.949894318,0.919035967,0.006574258,0.002893054,0.844627109,0.998559301,0.533427616,
34879,675.467,223.8000145,198.8687463,1.125365442,SEKER,35258,210.7351942,0.792362389,0.989250667,0.960650949,0.941622791,0.006416469,0.0031116,0.88665348,0.997809185,0.458682478,
34911,670.061,232.3946574,191.3768711,1.214329904,SEKER,35204,210.8318423,0.771070766,0.991677082,0.977110029,0.90721467,0.006656775,0.002781531,0.823038457,0.99944021,0.567317077,
34912,676.03,230.3106061,193.1139792,1.192614885,SEKER,35245,210.8348619,0.774376719,0.990551851,0.959958935,0.91543705,0.006596889,0.002857807,0.838024993,0.999441081,0.544911378,
34924,816.638,258.3197875,181.6399258,1.422153122,SEKER,37992,210.871093,0.712095261,0.919246157,0.658073911,0.816318003,0.007396627,0.002026054,0.666375082,0.947687403,0.711032482,
34960,681.462,237.5611221,187.9510512,1.26395208,SEKER,35342,210.979749,0.80349345,0.98919133,0.946014953,0.888107225,0.006795227,0.002607626,0.788734443,0.99692254,0.611597287,
34968,673.319,238.1086753,187.1376478,1.272371851,SEKER,35218,211.0038872,0.755509463,0.992901357,0.969256937,0.886166314,0.006809331,0.002590271,0.785290736,0.999181827,0.618310695,
34968,750.395,242.822452,184.3295472,1.317327882,SEKER,35858,211.0038872,0.743367347,0.975179876,0.780370411,0.868963662,0.006944133,0.00244233,0.755097846,0.994711447,0.65095951,
34995,679.687,236.9907334,188.1316847,1.259706645,SEKER,35298,211.0853331,0.757992549,0.991415944,0.951914484,0.89069024,0.006772131,0.002629129,0.793329103,0.999361943,0.6081324,
35022,670.696,231.8361853,192.6036331,1.203695806,SEKER,35293,211.1667477,0.791779707,0.992321424,0.978361547,0.910844644,0.00661973,0.002810589,0.829637966,0.99863174,0.556608864,
35049,679.396,228.9631987,195.0752162,1.173717518,SEKER,35349,211.2481309,0.777484472,0.991513197,0.954200246,0.922629192,0.00653266,0.002919971,0.851244625,0.999120729,0.523551942,
35069,692.225,234.2366519,191.2138075,1.224998628,SEKER,35563,211.3083945,0.752682864,0.986109158,0.919684117,0.902114988,0.006679308,0.002728719,0.813811452,0.996917913,0.57758939,
35087,678.15,237.2938758,188.4922823,1.258904995,SEKER,35477,211.3626171,0.768945869,0.989006962,0.958748216,0.890720911,0.006763014,0.002625951,0.793383741,0.998794754,0.607471966,
35123,685.227,233.2248862,192.0042077,1.214686329,SEKER,35457,211.4710205,0.791914683,0.990580139,0.940010129,0.906725796,0.006640233,0.002768643,0.822151669,0.998656393,0.567667673,
35128,669.663,228.4024536,195.966868,1.16551566,SEKER,35376,211.4860722,0.785527404,0.992989597,0.984352571,0.925936078,0.006502006,0.002948161,0.857357621,0.999263734,0.51366751,
35145,681.083,243.7645848,183.7065283,1.32692391,SEKER,35444,211.5372397,0.782809159,0.991564158,0.952079756,0.867793162,0.006935968,0.00242634,0.753064972,0.999259916,0.657307236,
35247,682.573,234.9905396,191.2353297,1.228802962,SEKER,35605,211.8439856,0.759012016,0.989945232,0.950678806,0.90150006,0.006666966,0.002716258,0.812702358,0.998651065,0.581144872,
35313,691.229,233.1566948,193.1171461,1.207332956,SEKER,35743,212.0422317,0.773898751,0.987969672,0.928753744,0.909440889,0.006602574,0.002786063,0.82708273,0.998564238,0.560326339,
35321,682.903,232.9444526,193.4111007,1.204400635,SEKER,35670,212.066249,0.761491031,0.990215868,0.951754225,0.910372609,0.00659507,0.002794318,0.828778287,0.998181095,0.557333834,
35354,687.741,235.0153084,191.8282547,1.225133955,SEKER,35726,212.1652914,0.754363504,0.989587415,0.939287602,0.902772219,0.006647488,0.002723642,0.814997679,0.99848133,0.57771681,
35364,683.341,222.2949087,202.8807894,1.09569225,SEKER,35761,212.1952951,0.79216881,0.988898521,0.951691714,0.9545666,0.00628591,0.003219384,0.911197393,0.998391922,0.408708385,
35376,681.424,236.606393,190.5127968,1.241944882,SEKER,35693,212.231294,0.770702163,0.991118707,0.95737865,0.896980387,0.006688331,0.002670726,0.804573815,0.999236332,0.593018666,
35377,687.757,237.8744339,189.4917581,1.255328656,SEKER,35712,212.2342936,0.781984969,0.9906194,0.939854937,0.89221145,0.006723985,0.002628317,0.796041272,0.999293419,0.604501323,
35403,678.413,233.9865511,192.879318,1.21312411,SEKER,35713,212.3122691,0.770669163,0.991319688,0.966632975,0.907369539,0.006609229,0.00276355,0.823319481,0.998788713,0.566127097,
35438,678.412,233.1800328,193.710573,1.203754804,SEKER,35726,212.4171909,0.793595342,0.991938644,0.967591457,0.910957891,0.006579943,0.002795086,0.829844279,0.998929038,0.556669634,
35467,683.515,226.947476,199.2610778,1.13894534,SEKER,35845,212.5040869,0.766721432,0.989454596,0.953977692,0.936358009,0.006398835,0.003034229,0.876766322,0.998588916,0.478650982,
35473,687.235,241.0501435,187.6446637,1.284609638,SEKER,35874,212.5220609,0.791348771,0.988821988,0.943837534,0.881650837,0.006795313,0.002532653,0.777308199,0.998537604,0.627710839,
35507,682.142,239.2324137,189.1161631,1.265002471,SEKER,35835,212.6238851,0.781920282,0.990846937,0.958902087,0.888775404,0.006737613,0.002593307,0.789921719,0.999252926,0.612446177,
35511,702.0,224.1421069,204.1513255,1.097921389,SEKER,36641,212.6358612,0.759074003,0.96916023,0.905521032,0.948665399,0.006311906,0.003153498,0.899966039,0.988091963,0.412821343,
35517,678.829,232.996395,194.232582,1.199574205,SEKER,35881,212.6538241,0.771622238,0.989855355,0.968557402,0.912691478,0.006560137,0.002807945,0.833005734,0.99925219,0.55232461,
35602,688.378,240.6556265,188.5903078,1.276076323,SEKER,35941,212.9081358,0.780916868,0.990567875,0.944126734,0.884700428,0.00675961,0.002554385,0.782694847,0.998778363,0.621199848,
35647,679.754,236.1571148,192.3417705,1.227799423,SEKER,35927,213.0426484,0.765088427,0.992206419,0.969458687,0.902122507,0.00662488,0.002706574,0.813825018,0.999213887,0.580212296,
35672,690.775,241.4564778,188.2509018,1.282631188,SEKER,36078,213.117341,0.779375137,0.988746605,0.939429298,0.882632526,0.006768796,0.002534025,0.779040176,0.999221227,0.626218826,
35680,686.068,230.9097907,197.0362234,1.171915431,SEKER,35991,213.1412371,0.804020101,0.991358951,0.952577641,0.923049804,0.006471687,0.002897996,0.852020941,0.998496489,0.52141391,
35690,691.225,238.3892909,190.7619789,1.249668787,SEKER,36059,213.1711035,0.752572537,0.989766771,0.938679942,0.894214261,0.006679442,0.002634428,0.799619144,0.999259086,0.599717186,
35693,680.082,229.6226847,198.0893949,1.159187168,SEKER,35997,213.1800626,0.779544412,0.991554852,0.969773596,0.928392867,0.006433269,0.002948076,0.861913315,0.999118855,0.505761316,
35699,694.117,236.6649656,192.4798218,1.229557277,SEKER,36104,213.1979796,0.758488081,0.988782406,0.93110906,0.900843008,0.006629456,0.00269311,0.811518126,0.997808017,0.581843363,
35703,677.734,230.1138772,197.7162664,1.163859107,SEKER,35987,213.2099235,0.785544554,0.992108261,0.976778354,0.92654092,0.006445225,0.002930058,0.858478076,0.999147527,0.51162219,
35738,684.449,237.8500276,191.8892822,1.239517001,SEKER,36051,213.3144038,0.799168139,0.991317855,0.958645244,0.896844141,0.006655382,0.002655954,0.804329414,0.996979983,0.59087126,
35758,682.303,239.4353205,190.4997504,1.25687997,SEKER,36049,213.3740838,0.745890697,0.991927654,0.965224912,0.891155421,0.006695993,0.002605005,0.794157984,0.998161263,0.605794808,
35762,690.56,236.8214407,192.7075785,1.228916073,SEKER,36157,213.3860178,0.791159683,0.989075421,0.942386,0.901041803,0.006622153,0.002692519,0.81187633,0.997727872,0.581249747,
35795,695.242,249.7361414,182.7040856,1.366888653,SEKER,36189,213.4844479,0.791907259,0.989112714,0.930593962,0.854840019,0.006976844,0.002298149,0.730751458,0.998855876,0.681746498,
35835,687.914,237.7041795,192.1767591,1.236903883,SEKER,36190,213.6036963,0.790885014,0.99019066,0.951588044,0.898611445,0.006633296,0.002668068,0.80750253,0.998803015,0.588537037,
35838,684.103,241.7568646,189.1084507,1.278403285,SEKER,36131,213.6126373,0.783549784,0.99189062,0.96230034,0.883584578,0.006745825,0.002536339,0.780721707,0.998077195,0.622995054,
35864,681.39,231.3393316,197.8137403,1.169480599,SEKER,36158,213.6901098,0.787008997,0.991869019,0.970682229,0.923708512,0.006450461,0.002896745,0.853237416,0.997844604,0.518495342,
35975,685.086,235.3637924,194.9026697,1.207596555,SEKER,36307,214.0205425,0.767614049,0.990855758,0.963208888,0.909318041,0.006542426,0.002759191,0.826859299,0.998512441,0.560593502,
36006,693.059,229.3833925,199.9267542,1.147337151,SEKER,36489,214.1127344,0.772329472,0.986763134,0.941985735,0.93342736,0.006370699,0.002983245,0.871286636,0.999659526,0.490247284,
36013,692.489,251.219347,182.6927204,1.375092267,SEKER,36327,214.1335465,0.776677881,0.991356291,0.943720538,0.852376813,0.006975796,0.002271434,0.726546232,0.999068105,0.68640029,
36059,692.057,237.0532471,193.8591292,1.222811885,SEKER,36417,214.270261,0.791670326,0.990169426,0.946106031,0.90389085,0.006574038,0.002706923,0.817018669,0.999060138,0.575520609,
36100,681.59,236.7518485,194.3442126,1.218208895,SEKER,36350,214.3920417,0.769952651,0.993122421,0.976496399,0.905555936,0.006558223,0.002720364,0.820031553,0.998969732,0.571104629,
36109,708.201,234.7734095,196.3627615,1.195610653,SEKER,36550,214.4187649,0.768865514,0.987934337,0.904715965,0.913300894,0.006501798,0.002790415,0.834118524,0.997280993,0.548130717,
36112,723.077,225.328776,204.6663388,1.100956695,SEKER,36709,214.4276718,0.792242552,0.983736958,0.86794521,0.95162134,0.00623972,0.003156469,0.905583176,0.99700786,0.418317348,
36140,693.003,236.5060994,194.8376485,1.21386242,SEKER,36473,214.5107856,0.764382403,0.990869959,0.945644243,0.906998958,0.006544164,0.002731877,0.822647109,0.99858041,0.566856441,
36166,693.373,226.8299222,203.3922504,1.115233849,SEKER,36553,214.5879339,0.775428816,0.989412634,0.94531487,0.946030099,0.006271911,0.003098842,0.894972949,0.998104127,0.442693642,
36246,684.492,238.5663802,193.5712269,1.232447529,SEKER,36557,214.8251394,0.78746008,0.991492737,0.972149813,0.900483711,0.006581868,0.002669515,0.810870915,0.999355855,0.584500192,
36253,698.598,230.5248972,200.5306111,1.149574601,SEKER,36730,214.8458825,0.788142963,0.987013341,0.933467365,0.931985591,0.006358781,0.00295931,0.868597141,0.998517212,0.49325106,
36278,689.943,246.5483426,187.7492127,1.313179102,SEKER,36580,214.9199484,0.746153846,0.991744122,0.957694019,0.871715243,0.006796084,0.002420678,0.759887465,0.997868339,0.648152282,
36325,690.58,246.1701717,188.3103217,1.307257984,SEKER,36623,215.0591232,0.738868661,0.991863037,0.957166508,0.873619747,0.00677688,0.002435002,0.763211463,0.997714279,0.644077851,
36373,689.957,244.4793815,189.7015456,1.288757984,SEKER,36684,215.2011663,0.783900862,0.99152219,0.960162934,0.880242599,0.006721452,0.002489158,0.774827034,0.998564526,0.63080564,
36393,681.994,233.8313405,198.3315724,1.178992016,SEKER,36655,215.2603232,0.782864027,0.992852271,0.983256019,0.920579435,0.006425174,0.00284649,0.847466495,0.999156232,0.52970465,
36443,703.908,229.6514033,202.3781617,1.134763758,SEKER,36837,215.4081445,0.767625066,0.989304232,0.924255797,0.937978786,0.00630166,0.003008893,0.879804204,0.998369924,0.472667792,
36461,694.029,242.5611765,192.0090373,1.263279999,SEKER,36805,215.4613354,0.758987489,0.990653444,0.951224887,0.888276263,0.00665262,0.002554846,0.789034719,0.996771779,0.611052403,
36496,698.972,218.3369555,213.0391831,1.024867596,SEKER,36927,215.5647244,0.771487761,0.988328323,0.938718927,0.987302969,0.00598249,0.003506417,0.974767153,0.999007269,0.218951263,
36518,691.304,232.8654425,199.7461437,1.16580695,SEKER,36855,215.6296865,0.800833333,0.990856058,0.960237602,0.925984054,0.00637673,0.002891957,0.857446468,0.999617052,0.51402542,
36520,692.007,233.3318727,199.5817193,1.169104433,SEKER,36852,215.6355912,0.796892729,0.990990991,0.958340093,0.924158319,0.006389153,0.002874806,0.854068598,0.998495384,0.518041342,
36532,697.29,243.796607,191.4935385,1.273132289,SEKER,36893,215.6710158,0.812147081,0.990214946,0.944183571,0.884635018,0.006673508,0.002521102,0.782579115,0.99632674,0.618906929,
36536,687.345,231.5417418,201.2117885,1.150736463,SEKER,36879,215.6828227,0.784775324,0.990699314,0.971809873,0.9315073,0.006337359,0.00294329,0.867705849,0.99850076,0.494796802,
36553,691.653,231.2505752,201.4553836,1.147899704,SEKER,36884,215.7329949,0.777591048,0.991025919,0.960188191,0.932897117,0.006326446,0.002955797,0.870297031,0.999013704,0.491005896,
36589,698.326,241.3724332,193.2983035,1.248704354,SEKER,37011,215.8392033,0.779351623,0.988597984,0.942852985,0.894216462,0.006596858,0.002601882,0.799623081,0.998492824,0.598891637,
36592,698.499,239.8121644,194.3987173,1.233609808,SEKER,36953,215.8480517,0.779083631,0.990230834,0.94246327,0.900071321,0.006553677,0.002653215,0.810128384,0.99938232,0.585559966,
36598,691.778,242.298842,192.637272,1.257798346,SEKER,36971,215.8657473,0.774790414,0.989911011,0.961022872,0.890907053,0.006620549,0.002572784,0.793715377,0.998333888,0.606557,
36601,692.969,247.3622283,188.5905933,1.311636089,SEKER,36924,215.8745946,0.787219856,0.991252302,0.957800813,0.872706379,0.006758346,0.002418203,0.761616424,0.998963588,0.647098284,
36620,688.188,236.195854,197.7146381,1.19463008,SEKER,36899,215.9306188,0.788697207,0.992438819,0.971659303,0.914201563,0.006449914,0.002779083,0.835764497,0.998429408,0.547081714,
